id,label,slug,createdAt,requiresTranslation,updatedAt,publishedAt,forceShow,updatedBy,forceHide
103165,madison sheahan,madison-sheahan,2026-01-15T23:48:13.091502Z,False,,,,,
103166,NEH,neh,2026-01-16T01:57:15.202417Z,False,,,,,
103169,Ankara,ankara,2026-01-16T15:38:22.973578Z,False,,,,,
101236,magazine,magazine,2024-11-11T23:59:34.945589Z,False,2026-01-15T22:11:08.121299Z,,,,
101453,Rotten Tomatoes,rotten-tomatoes,2024-12-10T19:36:30.803129Z,False,2026-01-15T22:11:08.123096Z,,,,
1192,minnesota vikings,minnesota-vikings,2024-02-06T19:57:28.974Z,False,2026-01-15T22:11:08.124189Z,2024-02-06 19:57:28.922+00,,,
1553,heli rodriguez-prilliman,heli-rodriguez-prilliman,2024-03-01T21:24:32.66Z,False,2026-01-15T22:11:08.125206Z,2024-03-01 21:24:32.655+00,,,
235,Bitcoin,bitcoin,2023-11-02T21:40:32.974Z,False,2026-01-15T22:11:08.126231Z,2023-11-02 21:40:32.968+00,True,15.0,
101306,markt cap,markt-cap,2024-11-21T21:49:57.928046Z,False,2026-01-15T22:11:08.129616Z,,,,
103167,Bank of Canada,bank-of-canada,2026-01-16T01:57:15.231156Z,False,,,,,
103168,Bank of Japan,bank-of-japan,2026-01-16T01:57:15.281212Z,False,,,,,
661,gemini ultra,gemini-ultra,2023-12-06T19:52:08.666Z,False,2025-12-18T02:37:41.658475Z,2023-12-06 19:52:08.646+00,,,
292,glenn youngkin,glenn-youngkin,2023-11-02T21:50:24.385Z,False,2025-12-18T02:37:41.659519Z,2023-11-02 21:50:24.378+00,,,
645,lgbtq+ rights,lgbtq-rights,2023-12-05T21:10:36.295Z,False,2025-12-18T02:37:50.847815Z,2023-12-05 21:10:36.264+00,,,
658,linguistics,linguistics,2023-12-06T16:06:48.365Z,False,2025-12-18T02:37:50.849442Z,2023-12-06 16:06:48.359+00,,,
662,llm,llm,2023-12-06T23:16:30.875Z,False,2025-12-18T02:37:50.850535Z,2023-12-06 23:16:30.747+00,,,
628,lockdown,lockdown,2023-12-04T17:42:21.744Z,False,2025-12-18T02:37:50.851555Z,2023-12-04 17:42:21.738+00,,,
1294,navalny,navalny,2024-02-07T22:18:32.833Z,False,2025-12-18T02:38:01.63572Z,2024-02-07 22:18:32.564+00,,,
102140,Tour de France,tour-de-france,2025-05-19T19:24:19.706103Z,False,2025-12-18T02:38:01.636723Z,,,,
100240,NBA Finals,nba-finals,2024-05-31T15:49:35.90647Z,False,2025-12-18T02:38:05.826463Z,,,,
1223,jim harbaugh,jim-harbaugh,2024-02-06T20:02:32.481Z,False,2025-12-18T02:41:45.479181Z,2024-02-06 20:02:32.472+00,,,
845,job loss,job-loss,2024-01-08T20:50:05.679Z,False,2025-12-18T02:41:45.481095Z,2024-01-08 20:50:05.651+00,,,
1521,tennessee,tennessee,2024-02-29T00:22:12.493Z,False,2025-12-18T02:41:45.481944Z,2024-02-29 00:22:12.47+00,,,
891,mixed martial arts,mixed-martial-arts,2024-01-18T00:17:35.616Z,False,2025-12-18T02:41:45.482956Z,2024-01-18 00:17:35.6+00,,,
1206,voting percentages,voting-percentages,2024-02-06T20:00:20.623Z,False,2025-12-18T02:41:45.485547Z,2024-02-06 20:00:20.617+00,,,
904,columbia university,columbia-university,2024-01-24T20:29:28.846Z,False,2025-12-18T02:41:49.762505Z,2024-01-24 20:29:28.654+00,,,
1529,luxury goods,luxury-goods,2024-02-29T19:13:25.227Z,False,2025-12-18T02:45:58.027636Z,2024-02-29 19:13:24.92+00,,,
100606,pedophile,pedophile,2024-09-20T13:53:50.802346Z,False,2025-12-18T02:45:58.031562Z,,,,
1507,kate middleton,kate-middleton,2024-02-28T18:04:46.66Z,False,2025-12-18T02:45:58.033991Z,2024-02-28 18:04:46.647+00,,,
